Solution_ID,col_grp_0_ID,col_grp_0_Rot,col_grp_0_h,col_grp_0_b,col_grp_0_fck,col_grp_0_fy,col_grp_0_required_rebar,col_grp_0_MainRebar_size,col_grp_0_Stirrup_size,col_grp_0_Stirrup_verticle_size,col_grp_1_ID,col_grp_1_Rot,col_grp_1_h,col_grp_1_b,col_grp_1_fck,col_grp_1_fy,col_grp_1_required_rebar,col_grp_1_MainRebar_size,col_grp_1_Stirrup_size,col_grp_1_Stirrup_verticle_size,col_grp_2_ID,col_grp_2_Rot,col_grp_2_h,col_grp_2_b,col_grp_2_fck,col_grp_2_fy,col_grp_2_required_rebar,col_grp_2_MainRebar_size,col_grp_2_Stirrup_size,col_grp_2_Stirrup_verticle_size,col_grp_3_ID,col_grp_3_Rot,col_grp_3_h,col_grp_3_b,col_grp_3_fck,col_grp_3_fy,col_grp_3_required_rebar,col_grp_3_MainRebar_size,col_grp_3_Stirrup_size,col_grp_3_Stirrup_verticle_size,col_grp_4_ID,col_grp_4_Rot,col_grp_4_h,col_grp_4_b,col_grp_4_fck,col_grp_4_fy,col_grp_4_required_rebar,col_grp_4_MainRebar_size,col_grp_4_Stirrup_size,col_grp_4_Stirrup_verticle_size,col_grp_5_ID,col_grp_5_Rot,col_grp_5_h,col_grp_5_b,col_grp_5_fck,col_grp_5_fy,col_grp_5_required_rebar,col_grp_5_MainRebar_size,col_grp_5_Stirrup_size,col_grp_5_Stirrup_verticle_size,col_grp_6_ID,col_grp_6_Rot,col_grp_6_h,col_grp_6_b,col_grp_6_fck,col_grp_6_fy,col_grp_6_required_rebar,col_grp_6_MainRebar_size,col_grp_6_Stirrup_size,col_grp_6_Stirrup_verticle_size,col_grp_7_ID,col_grp_7_Rot,col_grp_7_h,col_grp_7_b,col_grp_7_fck,col_grp_7_fy,col_grp_7_required_rebar,col_grp_7_MainRebar_size,col_grp_7_Stirrup_size,col_grp_7_Stirrup_verticle_size,col_grp_8_ID,col_grp_8_Rot,col_grp_8_h,col_grp_8_b,col_grp_8_fck,col_grp_8_fy,col_grp_8_required_rebar,col_grp_8_MainRebar_size,col_grp_8_Stirrup_size,col_grp_8_Stirrup_verticle_size,col_grp_9_ID,col_grp_9_Rot,col_grp_9_h,col_grp_9_b,col_grp_9_fck,col_grp_9_fy,col_grp_9_required_rebar,col_grp_9_MainRebar_size,col_grp_9_Stirrup_size,col_grp_9_Stirrup_verticle_size,col_grp_10_ID,col_grp_10_Rot,col_grp_10_h,col_grp_10_b,col_grp_10_fck,col_grp_10_fy,col_grp_10_required_rebar,col_grp_10_MainRebar_size,col_grp_10_Stirrup_size,col_grp_10_Stirrup_verticle_size,col_grp_11_ID,col_grp_11_Rot,col_grp_11_h,col_grp_11_b,col_grp_11_fck,col_grp_11_fy,col_grp_11_required_rebar,col_grp_11_MainRebar_size,col_grp_11_Stirrup_size,col_grp_11_Stirrup_verticle_size,beam_grp_0_ID,beam_grp_0_h,beam_grp_0_b,beam_grp_0_fck,beam_grp_0_fy,beam_grp_0_N_r,beam_grp_0_dimension,beam_grp_0_stirrup,beam_grp_0_strup_space,beam_grp_1_ID,beam_grp_1_h,beam_grp_1_b,beam_grp_1_fck,beam_grp_1_fy,beam_grp_1_N_r,beam_grp_1_dimension,beam_grp_1_stirrup,beam_grp_1_strup_space,beam_grp_2_ID,beam_grp_2_h,beam_grp_2_b,beam_grp_2_fck,beam_grp_2_fy,beam_grp_2_N_r,beam_grp_2_dimension,beam_grp_2_stirrup,beam_grp_2_strup_space,beam_grp_3_ID,beam_grp_3_h,beam_grp_3_b,beam_grp_3_fck,beam_grp_3_fy,beam_grp_3_N_r,beam_grp_3_dimension,beam_grp_3_stirrup,beam_grp_3_strup_space,beam_grp_4_ID,beam_grp_4_h,beam_grp_4_b,beam_grp_4_fck,beam_grp_4_fy,beam_grp_4_N_r,beam_grp_4_dimension,beam_grp_4_stirrup,beam_grp_4_strup_space,beam_grp_5_ID,beam_grp_5_h,beam_grp_5_b,beam_grp_5_fck,beam_grp_5_fy,beam_grp_5_N_r,beam_grp_5_dimension,beam_grp_5_stirrup,beam_grp_5_strup_space,beam_grp_6_ID,beam_grp_6_h,beam_grp_6_b,beam_grp_6_fck,beam_grp_6_fy,beam_grp_6_N_r,beam_grp_6_dimension,beam_grp_6_stirrup,beam_grp_6_strup_space,beam_grp_7_ID,beam_grp_7_h,beam_grp_7_b,beam_grp_7_fck,beam_grp_7_fy,beam_grp_7_N_r,beam_grp_7_dimension,beam_grp_7_stirrup,beam_grp_7_strup_space
1,77,1,750.0,600.0,35.0,500.0,8.0,32.0,10.0,150.0,26,0,750.0,600.0,27.0,400.0,16.0,25.0,10.0,250.0,15,1,700.0,600.0,30.0,500.0,6.0,32.0,13.0,250.0,233,1,800.0,700.0,40.0,400.0,12.0,32.0,10.0,150.0,124,0,650.0,650.0,40.0,400.0,22.0,25.0,13.0,350.0,23,1,650.0,600.0,27.0,500.0,16.0,25.0,10.0,250.0,73,1,650.0,650.0,27.0,400.0,20.0,29.0,10.0,350.0,15,1,700.0,600.0,30.0,500.0,6.0,32.0,13.0,250.0,26,0,750.0,600.0,27.0,400.0,16.0,25.0,10.0,250.0,569,1,1250.0,900.0,27.0,400.0,34.0,25.0,13.0,200.0,118,0,800.0,650.0,30.0,500.0,16.0,25.0,10.0,300.0,15,1,700.0,600.0,30.0,500.0,6.0,32.0,13.0,250.0,127,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,127,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,78,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,77,1,750.0,600.0,35.0,500.0,8.0,32.0,10.0,150.0,26,0,750.0,600.0,27.0,400.0,16.0,25.0,10.0,250.0,15,1,700.0,600.0,30.0,500.0,6.0,32.0,13.0,250.0,233,1,800.0,700.0,40.0,400.0,12.0,32.0,10.0,150.0,48,0,700.0,700.0,27.0,400.0,16.0,25.0,13.0,300.0,23,1,650.0,600.0,27.0,500.0,16.0,25.0,10.0,250.0,73,1,650.0,650.0,27.0,400.0,20.0,29.0,10.0,350.0,15,1,700.0,600.0,30.0,500.0,6.0,32.0,13.0,250.0,26,0,750.0,600.0,27.0,400.0,16.0,25.0,10.0,250.0,569,1,1250.0,900.0,27.0,400.0,34.0,25.0,13.0,200.0,118,0,800.0,650.0,30.0,500.0,16.0,25.0,10.0,300.0,15,1,700.0,600.0,30.0,500.0,6.0,32.0,13.0,250.0,127,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,127,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,78,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,77,1,750.0,600.0,35.0,500.0,8.0,32.0,10.0,150.0,26,0,750.0,600.0,27.0,400.0,16.0,25.0,10.0,250.0,15,1,700.0,600.0,30.0,500.0,6.0,32.0,13.0,250.0,233,1,800.0,700.0,40.0,400.0,12.0,32.0,10.0,150.0,48,0,700.0,700.0,27.0,400.0,16.0,25.0,13.0,300.0,23,1,650.0,600.0,27.0,500.0,16.0,25.0,10.0,250.0,73,1,650.0,650.0,27.0,400.0,20.0,29.0,10.0,350.0,1,1,600.0,600.0,27.0,400.0,8.0,32.0,13.0,250.0,19,1,750.0,600.0,27.0,400.0,8.0,32.0,10.0,400.0,569,1,1250.0,900.0,27.0,400.0,34.0,25.0,13.0,200.0,118,0,800.0,650.0,30.0,500.0,16.0,25.0,10.0,300.0,15,1,700.0,600.0,30.0,500.0,6.0,32.0,13.0,250.0,127,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,127,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,78,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,77,1,750.0,600.0,35.0,500.0,8.0,32.0,10.0,150.0,26,0,750.0,600.0,27.0,400.0,16.0,25.0,10.0,250.0,15,1,700.0,600.0,30.0,500.0,6.0,32.0,13.0,250.0,233,1,800.0,700.0,40.0,400.0,12.0,32.0,10.0,150.0,124,0,650.0,650.0,40.0,400.0,22.0,25.0,13.0,350.0,23,1,650.0,600.0,27.0,500.0,16.0,25.0,10.0,250.0,73,1,650.0,650.0,27.0,400.0,20.0,29.0,10.0,350.0,1,1,600.0,600.0,27.0,400.0,8.0,32.0,13.0,250.0,26,0,750.0,600.0,27.0,400.0,16.0,25.0,10.0,250.0,569,1,1250.0,900.0,27.0,400.0,34.0,25.0,13.0,200.0,118,0,800.0,650.0,30.0,500.0,16.0,25.0,10.0,300.0,15,1,700.0,600.0,30.0,500.0,6.0,32.0,13.0,250.0,127,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,127,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,78,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,77,1,750.0,600.0,35.0,500.0,8.0,32.0,10.0,150.0,26,0,750.0,600.0,27.0,400.0,16.0,25.0,10.0,250.0,15,1,700.0,600.0,30.0,500.0,6.0,32.0,13.0,250.0,233,1,800.0,700.0,40.0,400.0,12.0,32.0,10.0,150.0,124,0,650.0,650.0,40.0,400.0,22.0,25.0,13.0,350.0,23,1,650.0,600.0,27.0,500.0,16.0,25.0,10.0,250.0,233,1,800.0,700.0,40.0,400.0,12.0,32.0,10.0,150.0,1,1,600.0,600.0,27.0,400.0,8.0,32.0,13.0,250.0,26,0,750.0,600.0,27.0,400.0,16.0,25.0,10.0,250.0,569,1,1250.0,900.0,27.0,400.0,34.0,25.0,13.0,200.0,118,0,800.0,650.0,30.0,500.0,16.0,25.0,10.0,300.0,15,1,700.0,600.0,30.0,500.0,6.0,32.0,13.0,250.0,127,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,109,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,78,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,77,1,750.0,600.0,35.0,500.0,8.0,32.0,10.0,150.0,26,0,750.0,600.0,27.0,400.0,16.0,25.0,10.0,250.0,15,1,700.0,600.0,30.0,500.0,6.0,32.0,13.0,250.0,233,1,800.0,700.0,40.0,400.0,12.0,32.0,10.0,150.0,48,0,700.0,700.0,27.0,400.0,16.0,25.0,13.0,300.0,23,1,650.0,600.0,27.0,500.0,16.0,25.0,10.0,250.0,233,1,800.0,700.0,40.0,400.0,12.0,32.0,10.0,150.0,15,1,700.0,600.0,30.0,500.0,6.0,32.0,13.0,250.0,26,0,750.0,600.0,27.0,400.0,16.0,25.0,10.0,250.0,569,1,1250.0,900.0,27.0,400.0,34.0,25.0,13.0,200.0,118,0,800.0,650.0,30.0,500.0,16.0,25.0,10.0,300.0,15,1,700.0,600.0,30.0,500.0,6.0,32.0,13.0,250.0,127,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,109,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,78,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7,77,1,750.0,600.0,35.0,500.0,8.0,32.0,10.0,150.0,26,0,750.0,600.0,27.0,400.0,16.0,25.0,10.0,250.0,15,1,700.0,600.0,30.0,500.0,6.0,32.0,13.0,250.0,233,1,800.0,700.0,40.0,400.0,12.0,32.0,10.0,150.0,48,0,700.0,700.0,27.0,400.0,16.0,25.0,13.0,300.0,23,1,650.0,600.0,27.0,500.0,16.0,25.0,10.0,250.0,73,1,650.0,650.0,27.0,400.0,20.0,29.0,10.0,350.0,15,1,700.0,600.0,30.0,500.0,6.0,32.0,13.0,250.0,26,0,750.0,600.0,27.0,400.0,16.0,25.0,10.0,250.0,569,1,1250.0,900.0,27.0,400.0,34.0,25.0,13.0,200.0,118,0,800.0,650.0,30.0,500.0,16.0,25.0,10.0,300.0,15,1,700.0,600.0,30.0,500.0,6.0,32.0,13.0,250.0,127,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,109,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,78,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8,77,1,750.0,600.0,35.0,500.0,8.0,32.0,10.0,150.0,26,0,750.0,600.0,27.0,400.0,16.0,25.0,10.0,250.0,15,1,700.0,600.0,30.0,500.0,6.0,32.0,13.0,250.0,233,1,800.0,700.0,40.0,400.0,12.0,32.0,10.0,150.0,48,0,700.0,700.0,27.0,400.0,16.0,25.0,13.0,300.0,23,1,650.0,600.0,27.0,500.0,16.0,25.0,10.0,250.0,233,1,800.0,700.0,40.0,400.0,12.0,32.0,10.0,150.0,1,1,600.0,600.0,27.0,400.0,8.0,32.0,13.0,250.0,19,1,750.0,600.0,27.0,400.0,8.0,32.0,10.0,400.0,569,1,1250.0,900.0,27.0,400.0,34.0,25.0,13.0,200.0,118,0,800.0,650.0,30.0,500.0,16.0,25.0,10.0,300.0,15,1,700.0,600.0,30.0,500.0,6.0,32.0,13.0,250.0,127,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,109,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,78,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9,77,1,750.0,600.0,35.0,500.0,8.0,32.0,10.0,150.0,26,0,750.0,600.0,27.0,400.0,16.0,25.0,10.0,250.0,15,1,700.0,600.0,30.0,500.0,6.0,32.0,13.0,250.0,233,1,800.0,700.0,40.0,400.0,12.0,32.0,10.0,150.0,48,0,700.0,700.0,27.0,400.0,16.0,25.0,13.0,300.0,23,1,650.0,600.0,27.0,500.0,16.0,25.0,10.0,250.0,233,1,800.0,700.0,40.0,400.0,12.0,32.0,10.0,150.0,1,1,600.0,600.0,27.0,400.0,8.0,32.0,13.0,250.0,26,0,750.0,600.0,27.0,400.0,16.0,25.0,10.0,250.0,569,1,1250.0,900.0,27.0,400.0,34.0,25.0,13.0,200.0,118,0,800.0,650.0,30.0,500.0,16.0,25.0,10.0,300.0,15,1,700.0,600.0,30.0,500.0,6.0,32.0,13.0,250.0,127,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,109,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,78,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10,77,1,750.0,600.0,35.0,500.0,8.0,32.0,10.0,150.0,26,0,750.0,600.0,27.0,400.0,16.0,25.0,10.0,250.0,15,1,700.0,600.0,30.0,500.0,6.0,32.0,13.0,250.0,233,1,800.0,700.0,40.0,400.0,12.0,32.0,10.0,150.0,124,0,650.0,650.0,40.0,400.0,22.0,25.0,13.0,350.0,23,1,650.0,600.0,27.0,500.0,16.0,25.0,10.0,250.0,73,1,650.0,650.0,27.0,400.0,20.0,29.0,10.0,350.0,1,1,600.0,600.0,27.0,400.0,8.0,32.0,13.0,250.0,19,1,750.0,600.0,27.0,400.0,8.0,32.0,10.0,400.0,569,1,1250.0,900.0,27.0,400.0,34.0,25.0,13.0,200.0,118,0,800.0,650.0,30.0,500.0,16.0,25.0,10.0,300.0,15,1,700.0,600.0,30.0,500.0,6.0,32.0,13.0,250.0,127,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,109,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,78,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
