Parameter,Obj1_NormCostCO2,Obj2_MaxDrift,Cost,CO2,Max_Drift,Hypervolume
100,0.2112343739496266,0.1031691628338868,41571628.63449021,120525.3777587351,0.1031691628338868,5.606971658089382
100,0.2126116289985039,0.1030949842021558,41594114.64766876,120900.12704286304,0.1030949842021558,5.606971658089382
100,0.2168964345466824,0.1014278520999591,41883080.245596446,121494.47986794457,0.1014278520999591,5.606971658089382
100,0.2182736895955596,0.1012946600667949,41905566.258775,121869.22915207248,0.1012946600667949,5.606971658089382
100,0.2209082142265211,0.0877242002868551,42163207.39775029,122025.97517705389,0.0877242002868551,5.606971658089382
100,0.2265702748235769,0.087052703630851,42474659.00885653,122995.07728626332,0.087052703630851,5.606971658089382
100,0.2279475298724541,0.0870242508224724,42497145.02203508,123369.82657039123,0.0870242508224724,5.606971658089382
100,0.2319534725285943,0.0816667953991827,42704449.03235588,124089.52801426788,0.0816667953991827,5.606971658089382
100,0.23761553312565,0.0808028810072557,43015900.643462114,125058.63012347731,0.0808028810072557,5.606971658089382
100,0.2443981277896845,0.0743871333438748,43388840.56688693,126219.90753117354,0.0743871333438748,5.606971658089382
100,0.2457753828385617,0.0740191357548479,43411326.580065474,126594.65681530148,0.0740191357548479,5.606971658089382
100,0.2583628124178472,0.0675039276875381,44033299.936247535,128932.85796067317,0.0675039276875381,5.606971658089382
100,0.2660390280755882,0.0652312926856343,44707572.83853836,129588.9886538835,0.0652312926856343,5.606971658089382
100,0.289153394707044,0.06144018057485,45816967.53829823,133968.07625106428,0.06144018057485,5.606971658089382
100,0.3019363276972333,0.0612323381584333,46925525.81615552,135097.98596927302,0.0612323381584333,5.606971658089382
100,0.3159010123253959,0.0557491043750937,47569985.18551613,137810.9363987726,0.0557491043750937,5.606971658089382
100,0.340145604896049,0.0544746462204467,49151126.959720366,141314.6166616302,0.0544746462204467,5.606971658089382
100,0.3441088169917475,0.0541838852158986,49249419.36591637,142305.35293906918,0.0541838852158986,5.606971658089382
100,0.3541102895242118,0.0526145217168353,49795586.32908098,144027.56709112987,0.0526145217168353,5.606971658089382
100,0.4515086074520134,0.0488368034132419,55569409.5798534,159611.69798509846,0.0488368034132419,5.606971658089382
200,0.219683357719839,0.1128882579436497,41851688.7479048,122453.4612602464,0.1128882579436497,5.585109105827016
200,0.2235856218141702,0.1086873808357051,42203502.49931147,122763.41429645514,0.1086873808357051,5.585109105827016
200,0.2249294328199583,0.1073547612224513,42149363.67430099,123327.60273569293,0.1073547612224513,5.585109105827016
200,0.2251597221718833,0.1065533551333784,42059712.25012516,123634.0351431184,0.1065533551333784,5.585109105827016
200,0.2262704517673639,0.1048017776470654,42329272.95715215,123280.12831668329,0.1048017776470654,5.585109105827016
200,0.2315165268674832,0.0999232704763502,42626947.88354834,124154.2697921298,0.0999232704763502,5.585109105827016
200,0.2317468162194083,0.0992505844505978,42537296.459372506,124460.70219955528,0.0992505844505978,5.585109105827016
200,0.2345693767468478,0.0981580205895571,42703898.63045764,124914.20423698943,0.0981580205895571,5.585109105827016
200,0.2368057117479159,0.0907170945826021,42736654.16756997,125532.51095830822,0.0907170945826021,5.585109105827016
200,0.2409382651941722,0.0871328831129675,42998816.494800806,126148.89640194246,0.0871328831129675,5.585109105827016
200,0.2420517868480352,0.0870254639531343,43034329.09396616,126406.65243375476,0.0870254639531343,5.585109105827016
200,0.2422820761999603,0.0865502146665438,42944677.66979033,126713.08484118024,0.0865502146665438,5.585109105827016
200,0.2486388808955602,0.0827446375540134,43511913.30321352,127233.31949019164,0.0827446375540134,5.585109105827016
200,0.2488691702474852,0.0823296045319155,43422261.87903768,127539.75189761713,0.0823296045319155,5.585109105827016
200,0.2497015970978966,0.0759294105116295,43679471.74603471,127130.49301996177,0.0759294105116295,5.585109105827016
200,0.2510130046396848,0.0728129672936673,43627223.87658808,127679.5491691291,0.0728129672936673,5.585109105827016
200,0.2512432939916098,0.0725223831283854,43537572.45241225,127985.98157655458,0.0725223831283854,5.585109105827016
200,0.2589439096929977,0.0700615271177607,44050669.26082496,129070.40466480376,0.0700615271177607,5.585109105827016
200,0.2591741990449228,0.0698024674152997,43961017.83664912,129376.83707222925,0.0698024674152997,5.585109105827016
200,0.2631781223588443,0.0698008598609243,44235848.9816113,129919.68067583106,0.0698008598609243,5.585109105827016
200,0.2654506248324478,0.0690230909631213,44124542.79547116,130925.3205121013,0.0690230909631213,5.585109105827016
200,0.2661293130186187,0.0642362947311496,44389782.334965095,130446.72455329764,0.0642362947311496,5.585109105827016
200,0.2737564804383483,0.0639189335489853,44866977.51129746,131601.72382807493,0.0639189335489853,5.585109105827016
200,0.2753054137764171,0.0618669791300031,45005523.39975122,131727.62532182437,0.0618669791300031,5.585109105827016
200,0.2755357031283422,0.0618205542518919,44915871.97557539,132034.05772924985,0.0618205542518919,5.585109105827016
200,0.2881689336114672,0.0593477131429153,45646632.567820616,134102.77581813332,0.0593477131429153,5.585109105827016
200,0.2883992229633921,0.0593161103248851,45556981.14364478,134409.20822555877,0.0593161103248851,5.585109105827016
200,0.2979657392901186,0.0559575075053778,46561622.65840369,134798.0800320788,0.0559575075053778,5.585109105827016
200,0.3046236240169029,0.0558936198023467,46822267.43218837,136213.1618114887,0.0558936198023467,5.585109105827016
200,0.307014635362334,0.0545657640592343,46793786.22968978,137039.95265196796,0.0545657640592343,5.585109105827016
200,0.3591357785115943,0.0504701951857303,49925526.48002276,145270.01830984923,0.0504701951857303,5.585109105827016
200,0.4533877404665397,0.0503160629426172,55991554.576640666,159101.42012242813,0.0503160629426172,5.585109105827016
200,0.4768976104589887,0.0495869055515439,57182995.67676596,163390.86228915397,0.0495869055515439,5.585109105827016
300,0.198491110725711,0.1121381780662728,40448559.443590455,119445.82077804283,0.1121381780662728,5.640459770043976
300,0.1988065056339995,0.1121053755623283,40471382.50239588,119485.5170932388,0.1121053755623283,5.640459770043976
300,0.2015307591977927,0.1019458419924222,40851614.72415716,119350.58122084496,0.1019458419924222,5.640459770043976
300,0.2019603168521186,0.101941394010961,40880421.356733866,119410.5901514311,0.101941394010961,5.640459770043976
300,0.2025265782692525,0.0996102678736863,40772782.43137744,119869.69599331624,0.0996102678736863,5.640459770043976
300,0.2033041278579071,0.0996082314691743,40826282.53172344,119974.77859066888,0.0996082314691743,5.640459770043976
300,0.2036007455355543,0.0939631902138215,40751970.66916122,120262.05397549976,0.0939631902138215,5.640459770043976
300,0.2049445565413428,0.0922827311675046,40697831.8441508,120826.24241473751,0.0922827311675046,5.640459770043976
300,0.2081231449999288,0.0918661295993006,40812620.814951055,121527.00289444628,0.0918661295993006,5.640459770043976
300,0.2089006945885835,0.0918642582698696,40866120.915297054,121632.08549179892,0.0918642582698696,5.640459770043976
300,0.2103469424741451,0.0918235375314567,40893490.46815385,122015.80287164834,0.0918235375314567,5.640459770043976
300,0.2111244920627998,0.0918216673249129,40946990.56849985,122120.885469001,0.0918216673249129,5.640459770043976
300,0.2115968220587755,0.0873830580105382,41107385.36451158,121850.95574500498,0.0873830580105382,5.640459770043976
300,0.212940633064564,0.085834752331803,41053246.53950115,122415.14418424274,0.085834752331803,5.640459770043976
300,0.2151432450193869,0.0845346220372868,41470030.49107613,122020.65743911604,0.0845346220372868,5.640459770043976
300,0.2179437638509446,0.080702452653561,41421401.00107149,123028.90262826628,0.080702452653561,5.640459770043976
300,0.2195797216019411,0.0805482581637829,41430047.67708174,123521.1829751645,0.0805482581637829,5.640459770043976
300,0.2228893441731526,0.0763968589906378,41665701.55119165,123947.76525962328,0.0763968589906378,5.640459770043976
300,0.2247797502260438,0.0751615452013182,41696994.49885384,124461.02303268992,0.0751615452013182,5.640459770043976
300,0.2275757981251624,0.0750815015162521,41785462.37243209,125110.08474466972,0.0750815015162521,5.640459770043976
300,0.2281351839147479,0.0748225128696184,42024802.48458453,124661.53214631828,0.0748225128696184,5.640459770043976
300,0.2284505788230365,0.0748011352649248,42047625.54338995,124701.22846151426,0.0748011352649248,5.640459770043976
