gen,best_obj1,best_obj2,hypervolume,Experiment,PopSize,Tournament,Crossover,CXPB,MUTPB
0,inf,inf,0.0,PopSize_100,100,3,TwoPoint,0.9,0.7
1,0.7388593912461021,0.0600164345400558,4.297154141823632,PopSize_100,100,3,TwoPoint,0.9,0.7
2,0.7388593912461021,0.0600164345400558,4.297154141823632,PopSize_100,100,3,TwoPoint,0.9,0.7
3,0.7388593912461021,0.0600164345400558,4.297154141823632,PopSize_100,100,3,TwoPoint,0.9,0.7
4,0.7388593912461021,0.0600164345400558,4.297154141823632,PopSize_100,100,3,TwoPoint,0.9,0.7
5,0.7388593912461021,0.0600164345400558,4.297154141823632,PopSize_100,100,3,TwoPoint,0.9,0.7
6,0.7388593912461021,0.0600164345400558,4.297154141823632,PopSize_100,100,3,TwoPoint,0.9,0.7
7,0.7388593912461021,0.0600164345400558,4.297154141823632,PopSize_100,100,3,TwoPoint,0.9,0.7
8,0.7388593912461021,0.0600164345400558,4.297154141823632,PopSize_100,100,3,TwoPoint,0.9,0.7
9,0.7388593912461021,0.0600164345400558,4.297154141823632,PopSize_100,100,3,TwoPoint,0.9,0.7
10,0.4831340442091805,0.0600164345400558,4.913477491946408,PopSize_100,100,3,TwoPoint,0.9,0.7
11,0.4831340442091805,0.0600164345400558,4.916380519475939,PopSize_100,100,3,TwoPoint,0.9,0.7
12,0.4831340442091805,0.0600164345400558,4.916380519475939,PopSize_100,100,3,TwoPoint,0.9,0.7
13,0.4231528479622147,0.0600164345400558,5.061446136767867,PopSize_100,100,3,TwoPoint,0.9,0.7
14,0.4169507777771579,0.0600164345400558,5.078348508762687,PopSize_100,100,3,TwoPoint,0.9,0.7
15,0.4169507777771579,0.0600164345400558,5.078450672869721,PopSize_100,100,3,TwoPoint,0.9,0.7
16,0.4159598767623973,0.0600164345400558,5.080873075001687,PopSize_100,100,3,TwoPoint,0.9,0.7
17,0.4159598767623973,0.0590471298254003,5.085283946798551,PopSize_100,100,3,TwoPoint,0.9,0.7
18,0.4155524103515925,0.0590471298254003,5.086311722483766,PopSize_100,100,3,TwoPoint,0.9,0.7
19,0.4095509745369914,0.0590471298254003,5.101674372031602,PopSize_100,100,3,TwoPoint,0.9,0.7
20,0.4095509745369914,0.0551786203937499,5.109452241080458,PopSize_100,100,3,TwoPoint,0.9,0.7
21,0.3961717023630288,0.0551786203937499,5.142094082885087,PopSize_100,100,3,TwoPoint,0.9,0.7
22,0.3935869386170154,0.0551786203937499,5.148342592846912,PopSize_100,100,3,TwoPoint,0.9,0.7
23,0.3911685354522734,0.0551786203937499,5.154175605455481,PopSize_100,100,3,TwoPoint,0.9,0.7
24,0.3779359444369552,0.0551786203937499,5.186074897822516,PopSize_100,100,3,TwoPoint,0.9,0.7
25,0.3613884821859466,0.0551786203937499,5.225721264418051,PopSize_100,100,3,TwoPoint,0.9,0.7
26,0.3613884821859466,0.0551786203937499,5.226756181313289,PopSize_100,100,3,TwoPoint,0.9,0.7
27,0.3613884821859466,0.0551786203937499,5.226815117679683,PopSize_100,100,3,TwoPoint,0.9,0.7
28,0.3613884821859466,0.0551786203937499,5.226819051180599,PopSize_100,100,3,TwoPoint,0.9,0.7
29,0.3613884821859466,0.0551786203937499,5.226861281666514,PopSize_100,100,3,TwoPoint,0.9,0.7
30,0.3253558261007653,0.0551786203937499,5.313408616238882,PopSize_100,100,3,TwoPoint,0.9,0.7
31,0.3253558261007653,0.0551786203937499,5.314270621486476,PopSize_100,100,3,TwoPoint,0.9,0.7
32,0.3163029318638777,0.0551786203937499,5.336325050756384,PopSize_100,100,3,TwoPoint,0.9,0.7
33,0.3151902273402892,0.0551786203937499,5.339022287153974,PopSize_100,100,3,TwoPoint,0.9,0.7
34,0.3050516113063797,0.0551786203937499,5.363757122659184,PopSize_100,100,3,TwoPoint,0.9,0.7
